"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","0","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] TaskComponent","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] TaskComponent","should create","should create",""
"skipped","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","0","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] TasksService","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] TasksService","should be created","should be created",""
"passed","Mon Nov 22 23:09:39 UTC 2021","Mon Nov 22 23:09:39 UTC 2021","2","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AuthService #setToken","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AuthService #setToken","#logOut clears the saved token","#logOut clears the saved token",""
"passed","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","3","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] ModalService","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] ModalService","should open a modal","should open a modal",""
"skipped","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","0","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] ProfileComponent","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] ProfileComponent","should create","should create",""
"passed","Mon Nov 22 23:09:39 UTC 2021","Mon Nov 22 23:09:39 UTC 2021","3","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AuthService #setToken","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AuthService #setToken","clears the token from localStorage and emits the status","clears the token from localStorage and emits the status",""
"passed","Mon Nov 22 23:09:39 UTC 2021","Mon Nov 22 23:09:39 UTC 2021","2","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AuthService","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AuthService","#isLoggedOut returns true if user is not logged in","#isLoggedOut returns true if user is not logged in",""
"passed","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","16","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] LoginFormComponent","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] LoginFormComponent","should initialize its properties","should initialize its properties",""
"skipped","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","0","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] ModalComponent","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] ModalComponent","should create","should create",""
"passed","Mon Nov 22 23:09:39 UTC 2021","Mon Nov 22 23:09:39 UTC 2021","2","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AuthService","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AuthService","#isLoggedIn returns true if token is not expired","#isLoggedIn returns true if token is not expired",""
"passed","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","22","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] LoginFormComponent","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] LoginFormComponent","shows an error message if something goes wrong","shows an error message if something goes wrong",""
"passed","Mon Nov 22 23:09:39 UTC 2021","Mon Nov 22 23:09:39 UTC 2021","3","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AuthService","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AuthService","#signUp sends user data and receives access token","#signUp sends user data and receives access token",""
